[Row 79] Task B: ΔMain-lobe=51.01 dB, HPBW_elev≈5.28°, HPBW_az≈16.43°, SLL=-1.8 dB
[Row 80] Task B: ΔMain-lobe=105.70 dB, HPBW_elev≈12.45°, HPBW_az≈19.87°, SLL=-0.6 dB
[Row 81] Task B: ΔMain-lobe=86.01 dB, HPBW_elev≈20.00°, HPBW_az≈1.38°, SLL=-0.5 dB
[Row 82] Task B: ΔMain-lobe=48.16 dB, HPBW_elev≈20.00°, HPBW_az≈6.30°, SLL=-0.1 dB
[Row 83] Task B: ΔMain-lobe=47.34 dB, HPBW_elev≈7.88°, HPBW_az≈17.90°, SLL=-1.7 dB
[Row 84] Task B: ΔMain-lobe=84.06 dB, HPBW_elev≈20.00°, HPBW_az≈19.82°, SLL=-0.3 dB
[Row 85] Task B: ΔMain-lobe=104.47 dB, HPBW_elev≈20.00°, HPBW_az≈7.48°, SLL=-0.2 dB
[Row 86] Task B: ΔMain-lobe=52.85 dB, HPBW_elev≈9.60°, HPBW_az≈15.90°, SLL=-0.3 dB
[Row 87] Task B: ΔMain-lobe=55.44 dB, HPBW_elev≈5.40°, HPBW_az≈1.25°, SLL=-0.4 dB
[Row 88] Task B: ΔMain-lobe=73.20 dB, HPBW_elev≈2.45°, HPBW_az≈10.98°, SLL=-3.3 dB
[Row 89] Task B: ΔMain-lobe=31.59 dB, HPBW_elev≈3.73°, HPBW_az≈16.67°, SLL=-0.3 dB
[Row 90] Task B: ΔMain-lobe=103.61 dB, HPBW_elev≈20.00°, HPBW_az≈3.55°, SLL=-0.2 dB
[Row 91] Task B: ΔMain-lobe=37.16 dB, HPBW_elev≈2.33°, HPBW_az≈1.35°, SLL=-1.5 dB
[Row 92] Task B: ΔMain-lobe=52.46 dB, HPBW_elev≈14.53°, HPBW_az≈14.65°, SLL=-1.1 dB
[Row 93] Task B: ΔMain-lobe=118.53 dB, HPBW_elev≈4.57°, HPBW_az≈8.70°, SLL=-0.2 dB
[Row 94] Task B: ΔMain-lobe=66.57 dB, HPBW_elev≈14.35°, HPBW_az≈13.78°, SLL=-2.1 dB
[Row 95] Task B: ΔMain-lobe=72.14 dB, HPBW_elev≈14.73°, HPBW_az≈11.80°, SLL=-0.0 dB
[Row 96] Task B: ΔMain-lobe=73.31 dB, HPBW_elev≈4.68°, HPBW_az≈16.65°, SLL=-2.0 dB
[Row 97] Task B: ΔMain-lobe=130.35 dB, HPBW_elev≈20.00°, HPBW_az≈3.03°, SLL=-0.9 dB
[Row 98] Task B: ΔMain-lobe=103.67 dB, HPBW_elev≈20.00°, HPBW_az≈5.65°, SLL=-0.3 dB
[Row 99] Task B: ΔMain-lobe=44.27 dB, HPBW_elev≈3.15°, HPBW_az≈20.00°, SLL=-0.4 dB
[Row 100] Task B: ΔMain-lobe=113.61 dB, HPBW_elev≈3.88°, HPBW_az≈3.45°, SLL=-0.1 dB
[Row 101] Task B: ΔMain-lobe=116.89 dB, HPBW_elev≈16.33°, HPBW_az≈20.00°, SLL=-3.8 dB
[Row 102] Task B: ΔMain-lobe=96.01 dB, HPBW_elev≈17.55°, HPBW_az≈10.03°, SLL=-1.2 dB
[Row 103] Task B: ΔMain-lobe=42.93 dB, HPBW_elev≈20.00°, HPBW_az≈1.35°, SLL=-0.6 dB
[Row 104] Task B: ΔMain-lobe=119.67 dB, HPBW_elev≈20.00°, HPBW_az≈16.00°, SLL=-1.4 dB
[Row 105] Task B: ΔMain-lobe=78.87 dB, HPBW_elev≈7.57°, HPBW_az≈1.35°, SLL=-0.3 dB
[Row 106] Task B: ΔMain-lobe=30.17 dB, HPBW_elev≈20.00°, HPBW_az≈11.47°, SLL=-0.1 dB
[Row 107] Task B: ΔMain-lobe=22.07 dB, HPBW_elev≈14.67°, HPBW_az≈16.62°, SLL=-0.2 dB
[Row 108] Task B: ΔMain-lobe=114.60 dB, HPBW_elev≈12.22°, HPBW_az≈14.62°, SLL=-1.4 dB
[Row 109] Task B: ΔMain-lobe=71.01 dB, HPBW_elev≈3.02°, HPBW_az≈16.62°, SLL=-1.7 dB
[Row 110] Task B: ΔMain-lobe=116.28 dB, HPBW_elev≈3.28°, HPBW_az≈13.97°, SLL=-1.1 dB
[Row 111] Task B: ΔMain-lobe=116.85 dB, HPBW_elev≈20.00°, HPBW_az≈18.62°, SLL=-0.3 dB
[Row 112] Task B: ΔMain-lobe=85.01 dB, HPBW_elev≈18.05°, HPBW_az≈2.33°, SLL=-4.8 dB
[Row 113] Task B: ΔMain-lobe=64.98 dB, HPBW_elev≈18.95°, HPBW_az≈9.70°, SLL=-0.7 dB
[Row 114] Task B: ΔMain-lobe=47.07 dB, HPBW_elev≈20.00°, HPBW_az≈16.95°, SLL=-0.9 dB
[Row 115] Task B: ΔMain-lobe=98.61 dB, HPBW_elev≈7.68°, HPBW_az≈3.72°, SLL=-3.1 dB
[Row 116] Task B: ΔMain-lobe=28.91 dB, HPBW_elev≈8.65°, HPBW_az≈18.23°, SLL=-0.8 dB
[Row 117] Task B: ΔMain-lobe=96.79 dB, HPBW_elev≈5.60°, HPBW_az≈12.62°, SLL=-0.6 dB
[Row 118] Task B: ΔMain-lobe=120.45 dB, HPBW_elev≈20.00°, HPBW_az≈3.75°, SLL=-0.1 dB
[Row 119] Task B: ΔMain-lobe=46.38 dB, HPBW_elev≈20.00°, HPBW_az≈1.25°, SLL=-0.1 dB
[Row 120] Task B: ΔMain-lobe=96.38 dB, HPBW_elev≈4.22°, HPBW_az≈13.92°, SLL=-0.2 dB
[Row 121] Task B: ΔMain-lobe=36.01 dB, HPBW_elev≈2.42°, HPBW_az≈16.08°, SLL=-0.7 dB
[Row 122] Task B: ΔMain-lobe=112.69 dB, HPBW_elev≈9.40°, HPBW_az≈4.05°, SLL=-0.6 dB
[Row 123] Task B: ΔMain-lobe=102.61 dB, HPBW_elev≈4.40°, HPBW_az≈3.83°, SLL=-0.5 dB
[Row 124] Task B: ΔMain-lobe=95.66 dB, HPBW_elev≈14.75°, HPBW_az≈3.65°, SLL=-0.6 dB
[Row 125] Task B: ΔMain-lobe=75.10 dB, HPBW_elev≈2.92°, HPBW_az≈17.03°, SLL=-0.2 dB
[Row 126] Task B: ΔMain-lobe=113.13 dB, HPBW_elev≈20.00°, HPBW_az≈10.83°, SLL=-0.4 dB
[Row 127] Task B: ΔMain-lobe=77.03 dB, HPBW_elev≈10.95°, HPBW_az≈15.40°, SLL=-0.2 dB
[Row 128] Task B: ΔMain-lobe=125.24 dB, HPBW_elev≈20.00°, HPBW_az≈20.00°, SLL=-0.2 dB
[Row 129] Task B: ΔMain-lobe=130.86 dB, HPBW_elev≈8.35°, HPBW_az≈19.55°, SLL=-4.4 dB
[Row 130] Task B: ΔMain-lobe=86.40 dB, HPBW_elev≈20.00°, HPBW_az≈14.10°, SLL=-1.3 dB
[Row 131] Task B: ΔMain-lobe=120.23 dB, HPBW_elev≈18.90°, HPBW_az≈14.07°, SLL=-3.2 dB
[Row 132] Task B: ΔMain-lobe=117.69 dB, HPBW_elev≈20.00°, HPBW_az≈12.25°, SLL=-0.3 dB
[Row 133] Task B: ΔMain-lobe=112.50 dB, HPBW_elev≈16.88°, HPBW_az≈11.35°, SLL=-2.9 dB
[Row 134] Task B: ΔMain-lobe=108.71 dB, HPBW_elev≈20.00°, HPBW_az≈19.62°, SLL=-0.8 dB
[Row 135] Task B: ΔMain-lobe=73.51 dB, HPBW_elev≈2.35°, HPBW_az≈10.07°, SLL=-3.4 dB
[Row 136] Task B: ΔMain-lobe=54.53 dB, HPBW_elev≈0.52°, HPBW_az≈9.88°, SLL=-5.1 dB
[Row 137] Task B: ΔMain-lobe=116.85 dB, HPBW_elev≈20.00°, HPBW_az≈18.28°, SLL=-0.2 dB
[Row 138] Task B: ΔMain-lobe=59.73 dB, HPBW_elev≈16.53°, HPBW_az≈11.60°, SLL=-6.5 dB
[Row 139] Task B: ΔMain-lobe=119.97 dB, HPBW_elev≈20.00°, HPBW_az≈10.52°, SLL=-2.5 dB
[Row 140] Task B: ΔMain-lobe=82.45 dB, HPBW_elev≈5.90°, HPBW_az≈3.80°, SLL=-1.3 dB
[Row 141] Task B: ΔMain-lobe=127.42 dB, HPBW_elev≈20.00°, HPBW_az≈2.88°, SLL=-1.9 dB
[Row 142] Task B: ΔMain-lobe=135.06 dB, HPBW_elev≈7.80°, HPBW_az≈20.00°, SLL=-0.5 dB
[Row 143] Task B: ΔMain-lobe=114.60 dB, HPBW_elev≈20.00°, HPBW_az≈20.00°, SLL=-1.6 dB
[Row 144] Task B: ΔMain-lobe=69.87 dB, HPBW_elev≈20.00°, HPBW_az≈6.03°, SLL=-0.1 dB
[Row 145] Task B: ΔMain-lobe=96.41 dB, HPBW_elev≈20.00°, HPBW_az≈16.10°, SLL=-0.1 dB
[Row 146] Task B: ΔMain-lobe=118.11 dB, HPBW_elev≈5.00°, HPBW_az≈18.67°, SLL=-1.6 dB
[Row 147] Task B: ΔMain-lobe=95.65 dB, HPBW_elev≈16.05°, HPBW_az≈14.08°, SLL=-8.0 dB
[Row 148] Task B: ΔMain-lobe=95.38 dB, HPBW_elev≈20.00°, HPBW_az≈16.33°, SLL=-1.0 dB
[Row 149] Task B: ΔMain-lobe=119.26 dB, HPBW_elev≈9.07°, HPBW_az≈14.15°, SLL=-0.6 dB
[Row 150] Task B: ΔMain-lobe=31.58 dB, HPBW_elev≈3.42°, HPBW_az≈10.85°, SLL=-5.2 dB
[Row 151] Task B: ΔMain-lobe=112.53 dB, HPBW_elev≈15.45°, HPBW_az≈7.90°, SLL=-0.4 dB
[Row 152] Task B: ΔMain-lobe=51.31 dB, HPBW_elev≈5.22°, HPBW_az≈15.20°, SLL=-1.0 dB
[Row 153] Task B: ΔMain-lobe=112.44 dB, HPBW_elev≈9.32°, HPBW_az≈10.30°, SLL=-1.8 dB
[Row 154] Task B: ΔMain-lobe=95.52 dB, HPBW_elev≈16.80°, HPBW_az≈8.53°, SLL=-1.1 dB
[Row 155] Task B: ΔMain-lobe=94.19 dB, HPBW_elev≈9.12°, HPBW_az≈9.88°, SLL=-3.4 dB
[Row 156] Task B: ΔMain-lobe=115.27 dB, HPBW_elev≈9.95°, HPBW_az≈6.47°, SLL=-3.6 dB
